Gene: group_10061, Count of 1s: 9, Samples with 1s: ['ERR4034211', 'ERR4034218', 'ERR4034964', 'ERR4035377', 'ERR4035765', 'ERR4035970', 'ERR4036038', 'ERR4036930', 'ERR4036936']
Gene: group_10087, Count of 1s: 9, Samples with 1s: ['ERR4035408', 'ERR4035431', 'ERR4036245', 'ERR4036391', 'ERR4036499', 'ERR4036654', 'ERR4036794', 'ERR4037391', 'ERR4037442']
Gene: group_10100, Count of 1s: 9, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4034864', 'ERR4035328', 'ERR4035765', 'ERR4035976', 'ERR4036499', 'ERR4036771', 'ERR4037009']
Gene: group_10214, Count of 1s: 9, Samples with 1s: ['ERR4034376', 'ERR4034563', 'ERR4034629', 'ERR4034825', 'ERR4036045', 'ERR4036380', 'ERR4037260', 'ERR4037423', 'ERR4037450']
Gene: group_10216, Count of 1s: 9, Samples with 1s: ['ERR4034234', 'ERR4034629', 'ERR4034825', 'ERR4034915', 'ERR4035268', 'ERR4036045', 'ERR4036199', 'ERR4037009', 'ERR4037259']
Gene: group_10231, Count of 1s: 9, Samples with 1s: ['ERR4034162', 'ERR4034376', 'ERR4034538', 'ERR4034670', 'ERR4034814', 'ERR4035952', 'ERR4036140', 'ERR4036900', 'ERR4037260']
Gene: group_10232, Count of 1s: 9, Samples with 1s: ['ERR4034870', 'ERR4034980', 'ERR4035212', 'ERR4035274', 'ERR4035540', 'ERR4036186', 'ERR4036204', 'ERR4036333', 'ERR4037450']
Gene: group_10290, Count of 1s: 9, Samples with 1s: ['ERR4034762', 'ERR4034944', 'ERR4034971', 'ERR4034979', 'ERR4035238', 'ERR4035283', 'ERR4035969', 'ERR4036178', 'ERR4037396']
Gene: group_10321, Count of 1s: 9, Samples with 1s: ['ERR4034234', 'ERR4034254', 'ERR4035683', 'ERR4036245', 'ERR4036811', 'ERR4037218', 'ERR4037259', 'ERR4037382', 'ERR4037448']
Gene: sopA, Count of 1s: 9, Samples with 1s: ['ERR4034254', 'ERR4034313', 'ERR4035919', 'ERR4035969', 'ERR4036397', 'ERR4036955', 'ERR4037382', 'ERR4037405', 'ERR4037448']
Gene: group_10370, Count of 1s: 9, Samples with 1s: ['ERR4034313', 'ERR4034506', 'ERR4034672', 'ERR4036397', 'ERR4036955', 'ERR4037382', 'ERR4037405', 'ERR4037406', 'ERR4037448']
Gene: group_10374, Count of 1s: 9, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4034864', 'ERR4034944', 'ERR4034971', 'ERR4035283', 'ERR4035328', 'ERR4035765', 'ERR4036380']
Gene: group_10412, Count of 1s: 9, Samples with 1s: ['ERR4034231', 'ERR4034301', 'ERR4035135', 'ERR4035406', 'ERR4036131', 'ERR4036423', 'ERR4036745', 'ERR4037393', 'ERR4037404']
Gene: group_10420, Count of 1s: 9, Samples with 1s: ['ERR4034506', 'ERR4035683', 'ERR4035919', 'ERR4035969', 'ERR4037218', 'ERR4037259', 'ERR4037406', 'ERR4037423', 'ERR4037448']
Gene: group_10436, Count of 1s: 9, Samples with 1s: ['ERR4034231', 'ERR4034301', 'ERR4035135', 'ERR4035406', 'ERR4036131', 'ERR4036423', 'ERR4036745', 'ERR4037393', 'ERR4037404']
Gene: group_10560, Count of 1s: 9, Samples with 1s: ['ERR4034672', 'ERR4034699', 'ERR4034825', 'ERR4035640', 'ERR4035969', 'ERR4036397', 'ERR4037222', 'ERR4037382', 'ERR4037448']
