Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,strain
SRR21844339,WGS,301,630911287,PRJNA809394,SAMN26309072,Pathogen.cl,299641442,MRSN BI TEAM,Walter Reed Army Medical Center,2020-02-21,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833397,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,758757,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:07:00Z,1,758757,SRP401320,758757
SRR21844340,WGS,301,442792261,PRJNA809394,SAMN26304416,Pathogen.cl,210780112,MRSN BI TEAM,Walter Reed Army Medical Center,2020-02-21,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833396,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,758749,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:06:00Z,1,758749,SRP401320,758749
SRR21844341,WGS,301,587476455,PRJNA809394,SAMN26305197,Pathogen.cl,277191866,MRSN BI TEAM,Walter Reed Army Medical Center,2020-02-21,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833395,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,758731,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:07:00Z,1,758731,SRP401320,758731
SRR21844342,WGS,301,456644957,PRJNA809394,SAMN26309308,Pathogen.cl,216762984,MRSN BI TEAM,Walter Reed Army Medical Center,2020-02-21,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833394,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,758723,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:06:00Z,1,758723,SRP401320,758723
SRR21844343,WGS,301,567573323,PRJNA809394,SAMN26309156,Pathogen.cl,271188387,MRSN BI TEAM,Walter Reed Army Medical Center,2020-02-14,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833393,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,758441,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:07:00Z,1,758441,SRP401320,758441
SRR21844344,WGS,301,280854310,PRJNA809394,SAMN26304519,Pathogen.cl,132747564,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-20,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833392,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772563,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:07:00Z,1,772563,SRP401320,772563
SRR21844345,WGS,301,304607711,PRJNA809394,SAMN26309331,Pathogen.cl,144065701,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-20,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833391,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772555,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:07:00Z,1,772555,SRP401320,772555
SRR21844346,WGS,363,381443218,PRJNA809394,SAMN26309318,Pathogen.cl,189793670,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-20,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833390,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772547,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:07:00Z,1,772547,SRP401320,772547
SRR21844347,WGS,301,328370223,PRJNA809394,SAMN26308725,Pathogen.cl,155147084,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-17,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833389,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772539,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:07:00Z,1,772539,SRP401320,772539
SRR21844348,WGS,301,310865381,PRJNA809394,SAMN26308368,Pathogen.cl,146728248,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-17,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833388,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772521,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:07:00Z,1,772521,SRP401320,772521
SRR21844349,WGS,301,321416759,PRJNA809394,SAMN26305301,Pathogen.cl,151559605,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-17,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833387,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772513,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:07:00Z,1,772513,SRP401320,772513
SRR21844350,WGS,301,367475104,PRJNA809394,SAMN26308947,Pathogen.cl,172562270,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-17,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833386,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772505,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:07:00Z,1,772505,SRP401320,772505
SRR21844351,WGS,301,363986461,PRJNA809394,SAMN26308593,Pathogen.cl,170685610,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-17,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833385,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772491,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:07:00Z,1,772491,SRP401320,772491
SRR21844352,WGS,301,346202610,PRJNA809394,SAMN26308946,Pathogen.cl,162602362,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-16,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833384,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772483,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:07:00Z,1,772483,SRP401320,772483
SRR21844353,WGS,301,359066558,PRJNA809394,SAMN26304581,Pathogen.cl,168512238,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-16,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833383,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772475,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:07:00Z,1,772475,SRP401320,772475
SRR21844354,WGS,301,450327907,PRJNA809394,SAMN26308838,Pathogen.cl,215752568,MRSN BI TEAM,Walter Reed Army Medical Center,2020-02-20,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833382,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,758715,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:07:00Z,1,758715,SRP401320,758715
